trial,records,payload_max,cutoff,threads,nodes,total_ranks,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,100000,32,10000,2,8,8,0.880,19.908,31.658,26.474,3.225,1
1,100000,32,10000,4,8,8,0.901,19.940,31.425,24.123,2.759,1
1,100000,32,10000,8,8,8,0.928,19.642,32.691,25.427,2.651,1
1,100000,32,10000,16,8,8,0.843,20.154,33.798,25.122,2.561,1
1,100000,32,10000,32,8,8,0.801,19.146,32.592,24.213,2.273,1
1,100000,128,10000,1,8,8,0.896,20.475,31.474,56.062,4.886,1
1,100000,128,10000,2,8,8,0.847,20.401,31.611,53.203,4.643,1
1,100000,128,10000,4,8,8,0.910,28.354,40.741,54.725,5.031,1
1,100000,128,10000,8,8,8,1.044,20.558,32.971,52.478,5.213,1
1,100000,128,10000,16,8,8,0.879,28.732,41.444,53.128,4.638,1
1,100000,128,10000,32,8,8,0.826,19.979,33.444,76.754,4.258,1
1,1000000,8,10000,1,8,8,0.846,62.821,148.864,191.524,10.279,1
1,1000000,8,10000,2,8,8,0.894,64.325,146.754,206.177,22.549,1
1,1000000,8,10000,4,8,8,1.128,63.681,146.660,211.369,17.029,1
1,1000000,8,10000,8,8,8,0.986,61.549,146.720,236.482,17.069,1
1,1000000,8,10000,16,8,8,0.922,63.472,147.847,209.485,17.967,1
1,1000000,8,10000,32,8,8,0.888,54.553,138.507,169.082,9.364,1
1,1000000,32,10000,1,8,8,1.017,95.312,179.685,307.992,25.561,1
1,1000000,32,10000,2,8,8,0.823,84.203,167.569,347.024,16.270,1
1,1000000,32,10000,4,8,8,1.207,82.334,167.015,314.921,24.330,1
1,1000000,32,10000,8,8,8,0.919,82.743,167.150,315.366,20.841,1
1,1000000,32,10000,16,8,8,1.068,81.672,164.596,316.778,17.102,1
1,1000000,32,10000,32,8,8,0.794,79.902,164.279,312.645,15.993,1
1,1000000,128,10000,1,8,8,1.032,156.244,243.839,678.722,35.886,1
1,1000000,128,10000,2,8,8,0.835,157.810,240.580,687.710,40.523,1
1,1000000,128,10000,4,8,8,0.956,157.056,242.689,637.936,37.346,1
1,1000000,128,10000,8,8,8,0.885,154.631,241.609,781.896,36.391,1
1,1000000,128,10000,16,8,8,1.061,154.613,238.947,688.762,39.393,1
1,1000000,128,10000,32,8,8,0.922,135.684,219.317,674.022,31.996,1
1,10000000,8,10000,1,8,8,0.939,539.656,1388.552,2009.909,88.073,1
1,10000000,8,10000,2,8,8,0.828,533.333,1339.137,1980.662,86.395,1
1,10000000,8,10000,4,8,8,0.830,542.429,1322.851,2054.726,84.791,1
1,10000000,8,10000,8,8,8,0.931,539.812,1302.608,1983.992,87.457,1
1,10000000,8,10000,16,8,8,0.929,537.984,1287.326,2067.096,92.725,1
1,10000000,8,10000,32,8,8,0.804,512.143,1242.577,1836.123,84.287,1
1,10000000,32,10000,1,8,8,0.945,730.016,1569.859,3096.423,159.220,1
1,10000000,32,10000,2,8,8,0.839,714.679,1520.439,3091.593,147.100,1
1,10000000,32,10000,4,8,8,0.868,712.543,1497.219,3097.365,145.823,1
1,10000000,32,10000,8,8,8,0.822,710.681,1473.219,3129.082,149.869,1
1,10000000,32,10000,16,8,8,1.013,733.228,1491.645,3109.500,148.064,1
